Title,Artist,Lyrics
Tomorrow 2,GloRilla feat. Cardi B,"(Cheese, his name is Cheese)
They say they don't fuck with me (Cheese), but I say they can't fuck with me
Just like the air, I'm everywhere, how you say it's up with me?

P-poppin' shit, you would think I went to school for chiropractin' (poppin')
Lookin' good as hell today, just sent my nigga five attachments (look at this)
Why did you confront me 'bout a nigga? Man, you bitches backwards (stupid ass)
They come at me 'bout niggas who I don't even find attractive (ugh)

I don't know that nigga, I just seen him on the town before
I can't be up her face, I took her nigga down before (nah)
When I lose a nigga, I just pop out and go find some morе (easy)
Soon as I feel like my time get wastеd, then it's time to go (deuces)

They say they don't fuck with me, but I say they can't fuck with me (on gang)
Just like the air, I'm everywhere, how you say it's up with me (huh?)
Them bitches should've stayed down, they could've been up with me (too bad)
But all they doin' is talkin' down, 'cause they can't get up with me (lame ass)

My ex fuckin' on my old friend, both they ass some fuckin' clowns (hahahaha)
Thinkin' that she got one up on me, she got my hand-me-downs (lame ass ho)
He thought he wasn't gon' have to stand on shit, like he was handicap (thought it was)
Make that nigga stand on that, now his ass can't stand me now

High as fuck, I'm lit, yuh, I don't smoke no swishers (nope)
Slidin' with my gang and 'nem, look at them like sisters (that's gang)
..."
I Like It,Cardi B feat. Bad Bunny & J Balvin,"Yeah baby, I like it like that
You gotta' believe me when I tell you
I said I like it like that
You gotta' believe me when I tell you
I said I like it like

Now I like dollars, I like diamonds, I like stunting, I like shining
I like million dollar deals, where's my pen, bitch I'm signin' (Signin')
I like those Balenciagas (Those), the ones that look like socks
I like going to the jeweler, I put rocks all in my watch (Cha-ching)
I like texts from my exes, when they want a second chance (What?)
I like proving niggas wrong, I do what they say I can't (She can't)
They call me Cardi Bardi, banging body, spicy mami, hot tamale
Hotter than a Somali, fur coat, Ferrari

Hop out the stu', jump in the coupe (Coupe)
Big Dipper on top of the roof
Flexing on bitches as hard as I can
Eating halal, driving the Lam'
Told that bitch I'm sorry (Sorry)
'Bout my coins like Mario (Mario)
Yeah they call me Cardi B
I run this shit like cardio
Oh, damn

Diamond district in the jag (Gang, I said I like it like that)
Certified, you know I'm gang, gang (Gang, gang I said I like it like)
Drop the top and blow the brains, wouh (Wouh! I said I like it like that)
Oh he's so handsome, what's his name? (Yeah, wouh, I said I like it)
Oh I need the dollars, cha-ching (I said I like it like that)
Beat it up like piñatas (I said I like it like)
..."
Puntería,Shakira feat. Cardi B,"Tú tienes buena puntería
Sabes por dónde darme
Pa que quede rendía, rendía

Tienes estilo
Para llamar mi atención
Me tiras dardos
Van directo al corazón

Oh
Y por más veces que trate (ah)
Es imposible esquivarte

Tú tiene' buena puntería
Sabe' por dónde darme pa que quede rendía
Me ataca onde más duele
Tú a mí no me conviene'
Pero en tu cama o la mía
Todo eso a mí se me olvida, ah-ah

Oh-oh-uh
Oh-oh-oh-oh (la Cardi)

You, you got me stressin', thinkin' 'bout sexin'
Baby, keep me company
Dame de tu fire, apriétame las nalga' aunque tú no seas pa mí

..."
I Like It,Cardi B feat. Bad Bunny & J Balvin,"Yeah, baby
I like it like that
You gotta' believe me when I tell you
I said I like it like that
You gotta believe me when I tell you
I said I like it like...

Now I like dollars, I like diamonds
I like stuntin', I like shinin' (yeah)
I like million dollar deals
Where's my pen? Bitch, I'm signin' (signin')
I like those Balenciagas (those)
The ones that look like socks
I like going to the jeweler
I put rocks all in my watch (cha-ching)

I like texts from my exes when they want a second chance (what?)
I like proving niggas wrong
I do what they say I can't
They call me ""Cardi Bardi, banging body
Spicy mami, hot tamale
Hotter than a Somali, fur coat, Ferrari""

Hop out the stu', jump in the coupe
Big Dipper on top of the roof
Flexing on bitches as hard as I can
Eating halal, driving the Lam'
Told that bitch I'm sorry though (sorry though)
'Bout my coins like Mario (Mario)
Yeah, they call me Cardi B
I run this shit like cardio (woo, facts)

Diamond district in the chain, chain (I said I like it like that)
Certified, you know I'm gang, gang, gang, gang (I said I like it like), woo
Drop the top and blow the brains, woo (I said I like it like that)
..."
Taki Taki,"DJ Snake feat. Selena Gomez, Ozuna & Cardi B","Wooh, oh-oh

Báilame como si fuera la última vez
Y enséñame ese pasito que no sé
Un besito bien suavecito, bebé
Taki taki
Taki taki ¡Rumba!

Wo-oh, oh-oh
Hi Music Hi Flow (Snake)

Báilame como si fuera la última vez
Y enséñame ese pasito que no sé
Un besito bien suavecito, bebé
Taki taki
Taki taki

Taki, taki
Quiere un besito o un ñaqui
Booty explota como Nagasaki
Prende los motores Kawasaki
Que la disco está llena
Y llegaron los Anunnakis
No le bajes

El booty sobresale de tu traje
No trajo pantisito pa' que el nene no trabaje
Es que yo me sé lo que ella cree que ella se sabe
Cuenta que no quiere pero me tiene espionaje, eh-eh

El booty sobresale de tu traje
No trajo pantisito pa' que el nene no trabaje
Es que yo me sé lo que ella cree que ella se sabe
Cuenta que no quiere pero me tiene espionaje, eh-eh
..."
Up,Cardi B,"Up, up
Up (ayy), up (uh)
Up, look (this is fire)

Once upon a time, man, I heard that I was ugly
Came from a bitch who nigga wanna fuck on me

I said my face bomb, ass tight
Racks stack up Shaq height
Jewelry on me, flashlight
I been lit since last night
Hit him with that good-good
Make a nigga act right
Broke boys don't deserve no pussy (I know that's right!)

Big bag bussin' out the Bentley Bentayga
Man, Balenciaga Bardi back and all these bitches fucked
It's big bags bussin' out the Bentley Bentayga, man
Birkin bag, Bardi back and all you bitches fucked

If it's up, then it's up, then it's up, then it's stuck
If it's up, then it's up, then it's up, then it's stuck, huh (ayy)
Up, then it's up, if it's up, then it's stuck (huh)
If it's up, then it's up, then it's up, then it's stuck, huh (woo)
..."
Please Me,Cardi B feat. Bruno Mars,"Uh, uh, yeah, come on

Please me, baby
Turn around and just tease me, baby
You know what I want and what I need, baby
(Let me hear you say) please
(Let me hear you say) please (woo)

Please me, baby
Turn around and just tease me, baby
You know what I want and what I need, baby
(Let me hear you say) please
(Let me hear you say) please (woo)

Lollipoppin' (poppin'), twerkin' in some J's (ooh)
On the dance floor (uh-huh), no panties in the way (nope)
I take my time with it (ow), bring you close to me (ow)
Don't want no young dumb shit
Better fuck me like we listenin' to Jodeci
I was tryna lay low (low), takin' it slow (slow)
When I'm fuckin' again (ayy)
Gotta celebrate, do you man look good? Better put him away
If you can't sweat the weave out, you shouldn't even be out
Dinner reservations like the pussy, you gon' eat out

I'm gonna ride it, do it just how you like it tonight
And after that
..."
Enough (Miami) - Acapella,Cardi B,"Yeah, yeah
Okay, okay
Okay, okay
Yeah, yeah, yeah, look

Me verse you and you know who they pickin'
Cheap and expensive, you knowin' the difference
You know that it's hittin', you know what it's givin'
Hair, nails, polar bear
I can survive in the coldest conditions
Hoes better lower they tone when they spittin'
Bitches is washed, soap on the dishes
I apply pressure like boa constrictors

One bitch, two bitch, old bitch, new bitch
None of y'all bitches not gon' do shit
I'm in Miami, I pull up on cruise ship
You in Miami, four hoes to a room shit (ah)

When I step, it's stampede
Foot on neck, can't breathe
Lucky Charm, Van Cleef
Diamonds on the dance team

I see my opps linkin' up, I'm like, ""What in the fuck?""
If you scared, then just say that, hoe, enough is enough
They was just in my DMs, ain't no trustin' these sluts
..."
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake feat. Selena Gomez, Ozuna & Cardi B","Woh-oh-oh-oh

Báilame como si fuera la última vez
Y enséñame ese pasito que no sé
Un besito bien suavecito, bebé
Taki-taki, taki-taki, rumba

Woh-oh-oh-oh
High music, high flow (Snake)

Báilame como si fuera la última vez
Y enséñame ese pasito que no sé
Un besito bien suavecito, bebé
Taki-taki, taki-taki

Taki-taki, quiere un besito o un ñaqui
Booty explota como Nagasaki
Prende los motores Kawasaki
Que la disco está llena y llegaron los Anunnakis, no le bajes

El booty sobresale de tu traje
No trajo pantisito pa' que el nene no trabaje
Es que yo me sé lo que ella cree que ella se sabe
Cuenta que no quiere, pero me tiene espionaje, eh-eh

El booty sobresale de tu traje
No trajo pantisito pa' que el nene no trabaje
Es que yo me sé lo que ella cree que ella se sabe
Cuenta que no quiere, pero me tiene espionaje, eh-eh

..."
Finesse - Remix; feat. Cardi B,Bruno Mars feat. Cardi B,"Drop top Porsche (Porsche), Rollie on my wrist (Wrist)
Diamonds up and down my chain (Aha)
Cardi B, straight stuntin', can't tell me nothin'
Bossed up and I changed the game (You see me)
It's my big Bronx boogie, got all them girls shook (Shook)
My big fat ass got all them boys hooked (Hooked)
I went from dollar bills, now we poppin' rubber bands (Ha)
Bruno sang to me while I do my money dance like ayy
Flexin' on the 'Gram like ayy
Hit the Lil' Jon, okay (Okay), okay (Okay)
Oh yeah, we drippin' in finesse and getting paid, ow

Ooh, don't we look good together?
There's a reason why they watch all night long (All night long)
Yeah, I know we'll turn heads forever (Forever)
So tonight, I'm gonna show you off

When I'm walkin' with you
I watch the whole room change
Baby, that's what you do
No, my baby, don't play
Blame it on my confidence
Oh, blame it on your measurements
Shut that shit down on sight
That's right

We out here drippin' in finesse
It don't make no sense
Out here drippin' in finesse
..."
Money,Cardi B,"Look, my bitches all bad, my niggas all real
I ride his dick, in some big tall heels
Big fat checks, big large bills
Front, I'll flip like ten cartwheels
Cold ass bitch, I give Ross chills
Ten different looks and my looks all kill
I kiss him in the mouth, I feel all grills
He eat in the car, that's meals on wheels (woo)

I was born to flex (yes)
Diamonds on my neck
I like boardin' jets, I like mornin' sex (woo)
But nothing in this world
That I like more than checks (money)
All I really wanna see is the (money)
I don't really need the D, I need the (money)
All a bad bitch need is the (money flow)

I got bands in the coupe (coupe)
Bustin' out the roof
I got bands in the coupe (coupe)
Touch me, I'll shoot (bow)

Shake a little ass (money)
Get a little bag and take it to the store (money)
Get a little cash (money)
You shake it real fast, you get a little more (money)
I got bands in the coupe (coupe)
Bustin' out the roof
I got bands in the coupe (brrr)
Bustin' out the roof (Cardi)

I gotta fly, I need a jet, shit
I need room for my legs
I got a baby, I need some money, yeah
I need cheese for my egg
..."
WAP (feat. Megan Thee Stallion),Cardi B feat. Megan Thee Stallion,"Wh- in this house
There's some wh- in this house
There's some wh- in this house
There's some wh- in this house (hol' up)
I said certified freak, seven days a week
Wet and gushy, make that pull-out game weak, woo (ah)

Yeah, yeah, yeah, yeah
Yeah, you dealin' with some wet and gushy
Bring a bucket and a mop for this wet and gushy
Give me everything you got for this wet and gushy

Beat it up, baby, catch a charge
Extra large and extra hard
Put this cookie right in yo' face
Swipe your nose like a credit card
Hop on top, I want a ride
I do a kegel, I'm kinda wild
Look at my mouth, look at my thighs
This water is wet, come take a dive

Tie me up like I'm surprised
Let's roleplay, I wear a disguise
I want you to park that big Mack truck right in this little garage
Make me dream, make a stream
Out in public, make a scene
I don't cook, I don't clean
But let me tell you, I got this ring (ayy, ayy)

Gobble me, swallow me, drip down the side of me (yeah)
Quick, jump out 'fore you let it get inside of me (yeah)
I tell him where to put it, never tell him where I'm 'bout to be
I run down on him 'fore I have a (ayy) runnin' me
..."
Ring (feat. Kehlani),Cardi B feat. Kehlani,"Ooh, ooh
Ring, ring, ring, ring

You don't hit my line no more, oh, oh
You don't make it ring, ring, ring, ring
I can't keep this on the low
I want you to make it ring, ring, ring, ring

Should I call first? I can't decide
I want to, but a b- got pride
The switchin' up sh- is what I can't f- with
I'm feelin' you but you hard to get in touch with

And you ain't hit me up in a while
Actin' like you don't know what number to dial
You quit, then that's it, I'ma throw in the towel
'Cause a n- only gon' do what you allow

You don't want this gun smoke
Learn to text with your nose if your thumb broke
I don't care if we gettin' to it and I stall on your a-
But I still wake up to missed calls from your a-
..."
Motor Sport,Migos feat. Nicki Minaj & Cardi B,"Yeah, skrrt
M-M-M-Murda

Motorsport, yeah, put that thing in sport (skrrt, skrrt)
Shawty bad (bad), pop her like a cork (pop it)
You a dork, never been a sport (dork, yeah)
Pull up (woo, woo), jumpin' out the court

Cotton candy (drink), my cup tastes like the fair (cotton)
Straight up there (where?), we didn't take the stairs (where?)
Faced my fears (fears) gave my mama tears (mama)
Shiftin' gears (shift,) on the Nawf, get serious (serious)

Face all your fears, then get at me
Hit so many donuts on them backstreets
Sit so high in the nosebleeds (yeah)
Feel like I can fly, yeah

Xans, Perky, check (yeah) Bill Belichick
Take the air out the ball, just so I can flex
Take the air out the mall, walk in with the sacks
Take the air out your broad (hey), now she can't go back

Xans, Perky, check (yeah) Bill Belichick
Take the air out the ball (yeah), just so I can flex
Take the air out the mall (hey), walk in with the sacks
Take the air out your broad (woo, woo, woo, E)

Offset (Uh)
The coupe came imported (hey)
This season's Off-white, come and snorted (white)
Green Lamborghini, a tortoise (Lambo)
No human being, I'm immortal (no)
Patek and A.P. full of water (Patek)
Hundred K, I spend on my señora (racks)
My pinky on margarine, butter (margarine)
And my ears got McDonald's nuggets (ayy)
Soon as I land on the Leer (whew)
Piguets, they wet, tears ('guets)
488, hit the gears (488)
Suicide doors, Britney Spears
I'm boujee, so bitch, don't get near (boujee)
Criss Angel, make dope disappear (voila)
Hit the gas, it got flames out the rears (skrrt)
It's a race to the bag, get the mills (hey)
..."
Bet You Wanna (feat. Cardi B),BLACKPINK feat. Cardi B,"BLACKPINK, Cardi

Tell me where you wanna go, I'll meet you with my bags at the door
Ah, I'm gon' make you go blind, every time I walk, my hips, they don't lie
Take me to your paradise 'cause I don't wanna wait anymore
Ah, I say it one more time, every time I walk, my hips, they don't lie

You wanna touch, wanna touch? Of course, you wanna
You wanna run with my love? I know you wanna
From the club to the 'tub, you said, ""You wanna?""
Give me an all night hug, I bet you wanna
I bet you wanna, I bet you wanna
I bet you, I bet you, I bet you wanna
I bet you wanna, I bet you wanna

Something 'bout me's takin' you higher (ha)
And you ain't ever gonna come down (you ain't ever, you ain't ever)
I'm lighting your fire
And it ain't ever gonna go out (it ain't ever, it ain't ever, Cardi)

..."
Be Careful,Cardi B,"Yeah
Be careful, be careful, be careful with me
Yeah, look

I wanna get married, like the Currys, Steph and Ayesha shit
But we more like Belly—Tommy and Keisha shit
Gave you TLC, you wanna creep and shit
Poured out my whole heart to a piece of shit
Man, I thought you would've learned your lesson
'Bout likin' pictures, not returnin' texts
I guess it's fine, man, I get the message
You still stutter after certain questions
You keep in contact with certain exes
Do you, though, trust me, nigga, it's cool, though
Said that you was workin', but you out here chasin' culo
And putas, chillin' poolside, livin' two lives
I could've did what you did to me to you a few times
But if I did decide to slide, find a nigga
Fuck him, suck his dick, you would've been pissed
But that's not my M.O., I'm not that type of bitch
And karma for you is gon' be who you end up with
You make me sick, nigga

The only man, baby, I adore
I gave you everything, what's mine is yours
..."
Clout (feat. Cardi B),Offset feat. Cardi B,"Diamonds on fleek
Bitch, I ain't talking about the heat, oh
Put it on, streets
We straight out the streets
We straight out the streets
Straight out the streets to a penthouse

Straight out the streets to a penthouse
Miami beach (Yayo)
Niggas talk crazy on tweets (Who)
They don't want it 'cause I come to defeat
(They don't wanna)
I peep, these niggas all sweet (Weak)
Bamboo sticks all in the Jeep (Brr, brr)
There's a new weirdo every week (Weirdo)
Get the whip, put it up for my seats (Put it up)
No cure for the IG disease (No cure)

Do anything for clout (Anything)
They do anything for clout (Anything)
Do anything for clout (Anything)
They do anything for clout (Clout)
Do anything for clout (Clout, do this, woo woo)
They do anything for clout (Anything)
Do anything for clout (Hey)

Bitch, watch your mouth (Watch it)
Bitch, stay in your place (Place)
Bitch, get out the way (Love)
My bitch on your ass, Kim K (Yeah)
No disrespect (Nah)
The nigga be tripping, but we love Ye (He tripping)
Swapping our cars with my bitch
I bought her the Lambo
She bought me the Wraith (Swappin')
Practice, practice, practice make perfect
Nigga, it's never too late
(Never, never, never)

I took the ssss outta the snake
(I took the soul out the snake)
Did not see the bills up out of the bank (Racks)
..."
Rodeo,Lil Nas X,"Daytrip took it to 10 (Hey)

Rodeo, please let me know
Off we go, don't leave me in the cold

If I took you everywhere, then well, you wouldn't know how to walk
If I spoke on your behalf, then well, you wouldn't know how to talk
If I gave you everything and everything is what I bought
I can take it all back, I never cared 'bout what you thought

I didn't mean to make you mad, I don't like when you're upset
I'ma call you later on, baby girl, don't you forget
I'ma take you from this party, we might go and have some sex
Or we do that later on, now we lit like cigarettes

I thought you would stay with me
I'm yours and you're mine, I envy
So what I'm gon' do?
..."
Wild Side (feat. Cardi B),Normani feat. Cardi B,"I'm ready to pull up on you
I'm ready to do what I do
Baby, what you wanna do?
Shoot your shot 'cause I'm bulletproof
Load it up, and du-du-du (du-du)
Baby, what you wanna do? (Do, do, do)
I'm ready to pull up on you (you, you, you)
I'm ready to do what I do (do, do, do)

(Ooh) this type shit'll have you wyling
(Ooh) last minute trips to the islands
(Ooh) drip, drip, drip when you slide in
(Ooh) fit, fit, fit, baby, right in
(Ooh) don't hesitate when you
(Ooh) in it, 'cause you know I like it
(Ooh) baking up a cake for you
(Ooh) sweet, baby, like it when you bite it

We can't just keep talking about it
We think too often about it
We can't just be cautious about it
I wanna get wild

Take me for a ride, boy
Show me your wild side, boy
Know it's been a while, boy
I wanna get wild

I wanna drive you crazy (crazy)
Pull up inside me, baby (boy)
Fucking it up like ""oopsie-daisy""
Ain't no ""if, ands, buts"" and ""maybes""
..."
Thru Your Phone,Cardi B,"Look, I just want to break up all your shit, call your mama phone
Let her know that she raised a bitch, then dial tone, click
And fuck your little fake ass friends
Come around actin' like they my bros
I seen y'all little group texts

Where you all like to brag about your hoes
And you can tell your little bitch
I screenshotted all her naked pics
Oh, you wanna send nudes to my man?
Wake up and see your boobs on the 'Gram?

Lil' bitch, I cannot stand you, right hand to Jesus
I might just cut all the tongues out your sneakers
Smash your TV from Best Buy
You gon' turn me into into Left Eye

I don't wanna hear 'bout invasion of privacy
I had a feeling, it turns out you lie to me
I'm holdin' back everything that's inside of me
How you all fuckin' with bitches that follow me?

My heart is beating like it's bleeding out
You sleepin', you sleepin', you sleepin'
You sleeping like a baby
..."
Put It On Da Floor Again (feat. Cardi B),Latto feat. Cardi B,"(Go Grizz)
Yah (Squat made the beat)
What's happenin'?
Bardi (Big Latto), ba!

Rip me out the plastic, I been actin' brand-new
Bitches actin' like they runnin' shit, they really ran through
I'll spend that 500 'fore I ever trap you
They thought I was gon' fall off, I hate to bring you bad news

Threw so many racks, a bitch can't even see the floor
From Atlanta to L.A., the only time I'm back and forth
Cheap niggas make you pick, rich niggas get you both
Gave the Bentley to valet and let that nigga drive the boat

Shh, be quiet, be quiet, let me pop off
Leave the club sloppy drunk, come home and get my rocks off
Heard ""Bitch from Da Souf"", he tryna see me knock his socks off
Told them bitches, ""Meet me at the top,"" think they got lost

I'm on go like Grizz
She thought I would kiss her ass, she must ain't took her meds
Shit around my neck, it cost a arm and leg
Swear that nigga set for life, I let him get me preg'

..."
Press,Cardi B,"Monsta's gon' tear it up
Bardi
Woo, yeah
Bitches be pressed (Woo)
Bitches be pressed (Pressed)
Woo, yeah, yeah, woo

Bitches be pressed (Pressed)
They knew how I'm coming, real bitch in the flesh (Woo)
Who the fuck she gon' check? (Who?)
She be talking that shit, talkin' out of her neck (Brr)

Put blood on her dress (Woo)
Bitches be mad when they see Cardi step in the spot (Woah)
Said that you 'bout it, we know that you not
I'ma pull up on bitches as soon as I drop

Bought a new foreign, I might cop a yacht (Skrrt)
Bitches in my business, they tryna plot (Woo)
Hoes poppin' shit like they hot but they not (No)
Just flooded the wrist, the Patek, the watch (Woah)

Niggas be flexing, we know what you got
Cardi done had got the game in a knot
Fuckin' your nigga, I got him on lock
This go bang bang like I'm choppin' them chops

VVS chain, I'm in love with the rocks (Woah)
You said you gon' take it, bitch, you got me chopped (Woah)
..."
Rumors (feat. Cardi B),Lizzo feat. Cardi B,"They don't know I do it for the culture, god, damn
They say I should watch the shit I post, oh, god, damn
Say I'm turning big girls into hoes, oh, god, damn
They say I get groupies at my shows, oh, god, damn

All the rumors are true, yeah
What you heard, that's true, yeah
I fuck him and you, yeah
If you believe I do that
Had to cut some hoes loose, yeah
NDA, no loose lips
Now them hoes tryna sue me
Bitch, I don't give two shits

All the rumors are true, yeah
I've been in the bamboo, yeah
Focused on this music
My ex-nigga, he blew it
Last year, I thought I would lose it
Reading shit on the internet
My smoothie cleanse and my diet
No, I ain't fuck Drake yet, ha!

Spending all your time tryna break a woman down
..."
Bitter - Narration By Cardi B,Summer Walker feat. Cardi B,"Mm, mm, mm (better stop playing with me)
Yeah, yeah (bitch better stop playing with me)
Bitter, oh, mad at me, mad at my nigga (better stop playing with me)
Yeah, yeah, yeah (playing with me)
(Better stop playing with me) mmh

Bitter, yeah, mad at me, mad at my nigga
Mad at the fact he ain't with you, mad at the fact that it's me
But this shit bigger than me and you alone
So why you putting on for TheShadeRoom and Insta'?
Bitches just be looking for attention

Trust me, you can get it (get it)
Pull up whenever, whenever
You know I'm with it, don't get it twisted
Nothing like none of these bitches
But, sometimes, I get in my feelings
Sometimes I know I be tripping (tripping)
But why these hoes all in our business?

How he don't care 'bout his children? (How he don't care?)
How he supposed to be there? Y'all won't let him get 'em
How you posted like that on the 'Gram for a thousand?
I bet you can't post a picture (bet you can't, bet you can't)
Wondering if you even know this bitch, for real
London, did you screw this bitch for real?
They be on that groupie shit, for real (ah)

And I know she thought she struck when she let a nigga fuck
Man, that bitch is looking stuck (stuck as fuck)
..."
"Shake It (feat. Cardi B, Dougie B & Bory 300)","Kay Flock feat. Cardi B, Dougie B & Bory300","Elias Beatz (hey ladies, drop it down) (grrah)
(Just wanna see you touch the ground) (grrah, grrah-grrah)
(Don't be shy girl, go Bananza) (grrah-grrah)
(Shake ya body like a belly dancer) (like, grrah)

Oh, we tryna bend on the oppas, bitch, I'm with 300 jects and some Flockas
Like, who hotter? Top shotta, hoodie'd up, dread down like a Rasta
I'm Mr. Hang-Out-The-V tryna flock 'em, pop 'em, drop 'em (that boy-)
If we don't got the -, we gon' hop 'em, bory hop out wit' the -, tryna chop 'em (grrah-grrah, boom)

Talk on brodie, we spin for a week
Slide with Kay, only spin four V's (word to my mother)
Got a lil' thottie that holdin' my beam
Fuck that lil' boy who got left in a V (rah, rah)

Slide with two chop's, it's like 30 in each
I been fiendin' and itchin' to catch a YG
And if hе bunny hop, he get left in thе scene (grrah-grrah)
Nesty a bitch, nigga begged on his knees (grrah)

Bitch, it's 300, DOA, blow for the guys
I'm on go for the guys, smoke a O with the guys
Bitch, I hang out the V with the pole, let it fly
They keep dissin' like I ain't get back, don't know why?
..."
Bartier Cardi (feat. 21 Savage),Cardi B,"Bardi in a 'Rari, diamonds all over my body
(30, you a fool for this one)
Shinin' all over my body
Bardi, put that lil' bitch on molly, Bardi!

Bitch on Molly (Cheeze)
21, diamonds all over my body
Fucked that bitch on molly (KSR)
Ask him if I'm 'bout it

Your b- wanna party with Cardi
Cartier Bardi in a 'Rari (21)
Diamonds all over my body (Cardi)
Shinin' all over my body (my body)

Cardi got your b- on molly
B-, you ain't gang, you lame
Bentley truck lane to lane, blow out the brain (21)
I go insane, insane

I drop a check on the chain, f- up a check in the Flame
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (from what?)
Cardi put the p- on Offset (say what?)

Cartier, Cardi B brain on Offset (21)
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (21)
Cardi put the p- on Offset (Cardi)
Cartier, Cardi B brain on Offset (who's Cardi?)

Who get this motherf-r started? (Cardi)
Who took your b- out to party? (Cardi)
I took your bi- and departed (Cardi)
Who that be fly as a Martian? (Cardi)
Who that on fleek in the cut? (Cardi)

Who got the bricks in the truck? (Cardi)
Them diamonds gon' hit like a b- on a b- ass bitch
B-, you a wannabe Cardi
Red bottom MJ, moonwalk on a b-

Moonwalkin' through your clique
I'm moonwalkin' in the 6
Sticky with the kick, moonrocks in this b-
I'm from the motherf- Bronx (Bronx)
I keep the pump in the trunk (trunk)
B-, if you bad then jump (jump)
Might leave your b- in a slump (your back)
..."
Up,Cardi B,"Up, up
Up (ayy), up (uh)
Up, look (this is fire)

Once upon a time, man, I heard that I was ugly
Came from a chick who n- wanna touch on me

I said my face bomb, abs tight
Racks stack up Shaq height
Jewelry on me, flashlight
I been lit since last night
Hit him with that good-good
Make you wanna act right
Broke boys don't deserve no kitty (I know that's right!)

Big bag bussin' out the Bentley Bentayga
Man, Balenciaga Bardi back, know how I give it up
It's big bags bussin' out the Bentley Bentayga, man
Birkin bag, Bardi back, know how I give it up

If it's up, then it's up, then it's up, then it's stuck
If it's up, then it's up, then it's up, then it's stuck, huh (ayy)
Up, then it's up, if it's up, then it's stuck (huh)
If it's up, then it's up, then it's up, then it's stuck, huh (woo)
..."
Bongos (feat. Megan Thee Stallion),Cardi B feat. Megan Thee Stallion,"Bong-bong-bong (We good?)
Bong-bong-bong-bong (Like a drum)
Bong-bong-bong-bong-bong-bong-bong (Haha, this is fire)

Nigga, eat this ass like a plum (Plum)
This pussy tight like a nun (Nun)
Better chew it up like it's gum (Gum)
Then wipe your mouth when you done (Okay)
I'm hot like Nevada, pussy get popped, piñata

Bitch, I look like money, you could print my face on a dollar
Beat it up (Bong-bong-bong-bong)
Beat it up (Bong-bong-bong-bong)
Beat it up (Bong-bong-bong-bong)
Beat it up (Bong), okay
Five, four, three, two, one, lift off
Honey, I'm home, shoes gettin' kicked off
Every time I turn around, a bitch pissed off (Ah-ha)
You dusty ass hoes need a lip brush
You gon' settle down, you gon' live with him (What?)

I don't even wanna post a pic with him (No)
The bag he just bought mе was a Goyard (Goyard)
That ain't your nigga, he is both ours
Pussy tight like a nun (Nun)
Countin' up hundreds with my thumb (Thumb)
I don't carе where you from (From)
Better dick this shit like a drum (Okay)
Don't be talkin' shit like you know me (Woo)
..."
Never Lose Me (feat. SZA & Cardi B),Flo Milli feat. SZA & Cardi B,"Never had a bitch like me in your life (you ain't)
Never had a bitch like me in your life, uh
Never had a bitch like me in your life
You ain't never had a bitch like me in your life (yeah)

He speed in the Wraith while his hand on my coochie (yeah)
He touchin' Emilio Pucci (uh)
Doin' good, bitch, I'm gucci (I'm good)
Fly to Asia, he feedin' me sushi (ooh)
When we fuckin', it feel like a movie
Raw bitch, I ain't never been a groupie
Stiff on a ho, I like my nigga bougie (yeah)
Tell me you don't never wanna lose me

I ain't a bitch you hit up when you finally got work in the city
Leave a trap on the 'net, only reason you reached out
'Cause all of your friends think I'm so pretty
Hypin' a bitch 'cause you're thinkin' 'bout that box tonight (yeah)
Baby, let's get lost tonight (yeah)
Hit me up, I'll blow your mind (yeah, he)

He speed in a Jeep with his hand on my booty (booty)
He touchin' on me, I get goofy (yeah)
From the 'burbs, actin' bougie
From the 'burb but I suck it like Suki (mm)
From the 'burb but I buss it like Juvie (mm)
Throw it back while he talkin' me through it
..."
Enough (Miami),Cardi B,"Yeah
Yeah
Okay
Okay
Okay
Okay (Mano)
Yeah, yeah, yeah, look (OG Parker)

Look
Me verse you and you know who they pickin'
Cheap and expensive, you knowin' the difference
You know that it's hittin', you know what it's givin'
Hair, nails, polar bear
I can survive in the coldest conditions
Hoes better lower they tone when they spittin'

Bitches is washed, soap on the dishes
I apply pressure like boa constrictors
One bitch, two bitch, old bitch, new bitch
None of y'all bitches not gon' do shit
I'm in Miami, I pull up on cruise ship
You in Miami, four hoes to a room shit (ah)

When I step, it's stampede
Foot on neck, can't breathe
Lucky Charm, Van Cleef
..."
